2025-10-05T16:50:56.%fZ | INFO | {"event_id":"01033cf285c208a8_1759683056854335_000001","event_type":"configuration_change","level":"info","timestamp":1759683056.8543441,"iso_timestamp":"2025-10-05T16:50:56.%fZ","message":"Security auditor initialized","details":{"log_directory":"security_logs","compliance_standards":["cryptocurrency_security"],"session_id":"01033cf285c208a8"},"source_module":"","source_function":"","user_context":null,"session_id":"01033cf285c208a8","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:50:56.%fZ | INFO | {"event_id":"01033cf285c208a8_1759683056854549_000002","event_type":"configuration_change","level":"info","timestamp":1759683056.8545551,"iso_timestamp":"2025-10-05T16:50:56.%fZ","message":"SecureWalletFactory initialized","details":{"default_security_level":"high","default_entropy_quality":"excellent","audit_logging":true},"source_module":"wallefestor.core.secure_factory","source_function":"__init__","user_context":null,"session_id":"01033cf285c208a8","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:51:31.%fZ | INFO | {"event_id":"3aa7597cc4ab129a_1759683091846579_000001","event_type":"configuration_change","level":"info","timestamp":1759683091.8465905,"iso_timestamp":"2025-10-05T16:51:31.%fZ","message":"Security auditor initialized","details":{"log_directory":"security_logs","compliance_standards":["cryptocurrency_security"],"session_id":"3aa7597cc4ab129a"},"source_module":"","source_function":"","user_context":null,"session_id":"3aa7597cc4ab129a","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:51:31.%fZ | INFO | {"event_id":"3aa7597cc4ab129a_1759683091846802_000002","event_type":"configuration_change","level":"info","timestamp":1759683091.8468084,"iso_timestamp":"2025-10-05T16:51:31.%fZ","message":"SecureWalletFactory initialized","details":{"default_security_level":"high","default_entropy_quality":"excellent","audit_logging":true},"source_module":"wallefestor.core.secure_factory","source_function":"__init__","user_context":null,"session_id":"3aa7597cc4ab129a","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:51:31.%fZ | INFO | {"event_id":"3aa7597cc4ab129a_1759683091847071_000003","event_type":"wallet_creation","level":"info","timestamp":1759683091.8470757,"iso_timestamp":"2025-10-05T16:51:31.%fZ","message":"Operation started: create_secure_wallet","details":{},"source_module":"wallefestor.core.secure_factory","source_function":"create_secure_wallet","user_context":null,"session_id":"3aa7597cc4ab129a","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:51:31.%fZ | ERROR | {"event_id":"3aa7597cc4ab129a_1759683091847174_000004","event_type":"error_occurred","level":"error","timestamp":1759683091.8471782,"iso_timestamp":"2025-10-05T16:51:31.%fZ","message":"Operation failed: create_secure_wallet","details":{"error_type":"TypeError","error_message":"SecureWalletFactory.create_secure_wallet() got an unexpected keyword argument 'network'","duration_seconds":0.00010180473327636719,"related_event":"3aa7597cc4ab129a_1759683091847071_000003"},"source_module":"wallefestor.core.secure_factory","source_function":"create_secure_wallet","user_context":null,"session_id":"3aa7597cc4ab129a","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | INFO | {"event_id":"33bd2f7a20eecb11_1759683148337623_000001","event_type":"configuration_change","level":"info","timestamp":1759683148.3376346,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"Security auditor initialized","details":{"log_directory":"security_logs","compliance_standards":["cryptocurrency_security"],"session_id":"33bd2f7a20eecb11"},"source_module":"","source_function":"","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | INFO | {"event_id":"33bd2f7a20eecb11_1759683148337845_000002","event_type":"configuration_change","level":"info","timestamp":1759683148.337852,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"SecureWalletFactory initialized","details":{"default_security_level":"high","default_entropy_quality":"excellent","audit_logging":true},"source_module":"wallefestor.core.secure_factory","source_function":"__init__","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | INFO | {"event_id":"33bd2f7a20eecb11_1759683148338125_000003","event_type":"wallet_creation","level":"info","timestamp":1759683148.3381302,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"Operation started: create_secure_wallet","details":{},"source_module":"wallefestor.core.secure_factory","source_function":"create_secure_wallet","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | INFO | {"event_id":"33bd2f7a20eecb11_1759683148338242_000004","event_type":"wallet_creation","level":"info","timestamp":1759683148.338246,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"Context started: Creating secure wallet for ethereum","details":{"creation_id":1,"chain":"ethereum","testnet":false,"security_level":"high","entropy_quality":"excellent"},"source_module":"","source_function":"","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | ERROR | {"event_id":"33bd2f7a20eecb11_1759683148338650_000005","event_type":"error_occurred","level":"error","timestamp":1759683148.3386545,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"Context failed: Creating secure wallet for ethereum","details":{"error_type":"EntropyValidationError","error_message":"Unable to generate entropy meeting quality requirement: excellent","duration_seconds":0.0004057884216308594,"related_event":"33bd2f7a20eecb11_1759683148338242_000004"},"source_module":"","source_function":"","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:28.%fZ | ERROR | {"event_id":"33bd2f7a20eecb11_1759683148338749_000006","event_type":"error_occurred","level":"error","timestamp":1759683148.3387532,"iso_timestamp":"2025-10-05T16:52:28.%fZ","message":"Operation failed: create_secure_wallet","details":{"error_type":"EntropyValidationError","error_message":"Unable to generate entropy meeting quality requirement: excellent","duration_seconds":0.0006232261657714844,"related_event":"33bd2f7a20eecb11_1759683148338125_000003"},"source_module":"wallefestor.core.secure_factory","source_function":"create_secure_wallet","user_context":null,"session_id":"33bd2f7a20eecb11","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:49.%fZ | INFO | {"event_id":"92a15ade6f97b4c6_1759683169934303_000001","event_type":"configuration_change","level":"info","timestamp":1759683169.9343114,"iso_timestamp":"2025-10-05T16:52:49.%fZ","message":"Security auditor initialized","details":{"log_directory":"security_logs","compliance_standards":["cryptocurrency_security"],"session_id":"92a15ade6f97b4c6"},"source_module":"","source_function":"","user_context":null,"session_id":"92a15ade6f97b4c6","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:49.%fZ | INFO | {"event_id":"92a15ade6f97b4c6_1759683169934529_000002","event_type":"configuration_change","level":"info","timestamp":1759683169.9345355,"iso_timestamp":"2025-10-05T16:52:49.%fZ","message":"SecureWalletFactory initialized","details":{"default_security_level":"high","default_entropy_quality":"good","audit_logging":true},"source_module":"wallefestor.core.secure_factory","source_function":"__init__","user_context":null,"session_id":"92a15ade6f97b4c6","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:49.%fZ | INFO | {"event_id":"92a15ade6f97b4c6_1759683169934800_000003","event_type":"wallet_creation","level":"info","timestamp":1759683169.934805,"iso_timestamp":"2025-10-05T16:52:49.%fZ","message":"Operation started: create_secure_wallet","details":{},"source_module":"wallefestor.core.secure_factory","source_function":"create_secure_wallet","user_context":null,"session_id":"92a15ade6f97b4c6","compliance_tags":["cryptocurrency_security"]}
2025-10-05T16:52:49.%fZ | INFO | {"event_id":"92a15ade6f97b4c6_1759683169934902_000004","event_type":"wallet_creation","level":"info","timestamp":1759683169.9349055,"iso_timestamp":"2025-10-05T16:52:49.%fZ","message":"Context started: Creating secure wallet for ethereum","details":{"creation_id":1,"chain":"ethereum","testnet":false,"security_level":"high","entropy_quality":"good"},"source_module":"","source_function":"","user_context":null,"session_id":"92a15ade6f97b4c6","compliance_tags":["cryptocurrency_security"]}
